Neustadt an der Aisch-Bad Windsheim, Mittelfranken
Dillingen an der Donau, Schwaben
Kleve, Düsseldorf
Salzlandkreis, Magdeburg
Wunsiedel im Fichtelgebirge, Oberfranken
Regionalverband Saarbrücken, Saarland
Sächsische Schweiz-Osterzgebirge, Dresden
Harz, Göttingen
Oberbergischer Kreis, Köln
Mühldorf am Inn, Oberbayern
Märkischer Kreis, Arnsberg
Rheinisch-Bergischer Kreis, Köln
Neustadt an der Waldnaab, Rheinhessen-Pfalz
Landsberg am Lech, Oberbayern
Heidekreis, Luneburg
Erzgebirgskreis, Chemnitz
Hohenlohekreis, Stuttgart 
Mansfeld-Südharz, Halle
Mittelsachsen, Chemnitz
Vorpommern-Rügen, Mecklenburg-Vorpommern
Enzkreis, Karlsruhe
Anhalt-Bitterfeld, Dessau
Herzogtum Lauenburg, Schleswig-Holstein
Hameln-Pyrmont, Hannover
Saalekreis, Halle
Bodenseekreis, Tübingen
Nordsachsen, Leipzig
St. Wendel, Saarland
Vorpommern-Greifswald, Mecklenburg-Vorpommern
Pfaffenhofen an der Ilm, Oberbayern
Börde, Magdeburg
Mecklenburgische Seenplatte, Mecklenburg-Vorpommern
Neumarkt in der Oberpfalz,  Oberpfalz
Region Hannover, Hannover
Rotenburg (Wümme), Luneburg
Ludwigslust-Parchim,  Mecklenburg-Vorpommern
Eifelkreis Bitburg-Prüm, Trier
Nienburg/Weser, Hannover
